cashTotalSum;dateTime;ecashTotalSum;fiscalDocumentNumber;fiscalDriveNumber;fiscalSign;items_name;items_nds18;items_price;items_quantity;items_sum;kktRegId;nds18;operationType;operator;receiptCode;requestNumber;shiftNumber;taxationType;totalSum;userInn;createdAt;timeLastAccess
0;2019-05-03T20:10:00;73200;80026;9288000100013253;4016150463;Чипсы Лэйс Сметана/Лук;1332;7989;1;7989;0002562073025105    ;12200;1;Голенастов_Владимир;3;397;220;1;73200;7447208587;;
0;2019-05-03T20:10:00;73200;80026;9288000100013253;4016150463;Газ.вода Кока-Кола 2л;1332;7989;1;7989;0002562073025105    ;12200;1;Голенастов_Владимир;3;397;220;1;73200;7447208587;;
0;2019-05-03T20:10:00;73200;80026;9288000100013253;4016150463;Коньяк Кочари 3 года;7500;44999;1;44999;0002562073025105    ;12200;1;Голенастов_Владимир;3;397;220;1;73200;7447208587;;
0;2019-05-03T20:10:00;73200;80026;9288000100013253;4016150463;Пакет-майка;37;224;1;224;0002562073025105    ;12200;1;Голенастов_Владимир;3;397;220;1;73200;7447208587;;
0;2019-05-03T20:10:00;73200;80026;9288000100013253;4016150463;Winston XStyle Silver;2000;11999;1;11999;0002562073025105    ;12200;1;Голенастов_Владимир;3;397;220;1;73200;7447208587;;
0;2019-05-05T15:52:00;29214;101729;8715000100002642;4025331235;Филе ЦБ п/ф охл .(лоток) нат.1,0 кг Агрокомплекс;;27000;1.082;29214;0002710047000770    ;;1;Продавец Федотенко Яна Константиновна;3;312;219;16;29214;2328000083;;
0;2019-05-09T19:20:00;87747;49295;9284000100172054;3465883233;Пакет "Магнит" белый (Пластиктрейд) :2700;;390;1;390;0000166093029939;6370;1;Продавец-кассир Осипова;3;19;195;1;87747;2310031475;;
0;2019-05-09T19:20:00;87747;49295;9284000100172054;3465883233;ТД СМЕТАНИН Тан нап к/м 0,5% 1л пл/бут (РЗПС):6;;3990;1;3990;0000166093029939;6370;1;Продавец-кассир Осипова;3;19;195;1;87747;2310031475;;
0;2019-05-09T19:20:00;87747;49295;9284000100172054;3465883233;СТАРОМИНСКИЙ СЫРОДЕЛ Сыр Чеддер 50%(в)(Лен.СК):2,3/6,9;;61900;0.221;13680;0000166093029939;6370;1;Продавец-кассир Осипова;3;19;195;1;87747;2310031475;;
0;2019-05-09T19:20:00;87747;49295;9284000100172054;3465883233;СТАРОМИНСКИЙ СЫРОДЕЛ Сыр Тильзитер 45% (в)(Ленингр):4,2/16;;61900;0.258;15970;0000166093029939;6370;1;Продавец-кассир Осипова;3;19;195;1;87747;2310031475;;
0;2019-05-09T19:20:00;87747;49295;9284000100172054;3465883233;Колбаса Сервелат Швейцарск в/к 0,35кг мяс/пр в/у(Атяшев):1;;6990;1;6990;0000166093029939;6370;1;Продавец-кассир Осипова;3;19;195;1;87747;2310031475;;
0;2019-05-09T19:20:00;87747;49295;9284000100172054;3465883233;Паштет Домаш печеночный 0,35кг мясн/пр колб/из(Дон Трад):1;;8900;1;8900;0000166093029939;6370;1;Продавец-кассир Осипова;3;19;195;1;87747;2310031475;;
0;2019-05-09T19:20:00;87747;49295;9284000100172054;3465883233;ЯБЛОКИ Гренни Смит (цена за 1 кг);;8490;1.406;11937;0000166093029939;6370;1;Продавец-кассир Осипова;3;19;195;1;87747;2310031475;;
0;2019-05-09T19:20:00;87747;49295;9284000100172054;3465883233;LAYS Чипсы со вкусом сметаны и лука 225г (ФритоЛэй):7;;13990;1;13990;0000166093029939;6370;1;Продавец-кассир Осипова;3;19;195;1;87747;2310031475;;
0;2019-05-09T19:20:00;87747;49295;9284000100172054;3465883233;ВИНСТОН ИксСтайл Сильвер Сигареты МРЦ 126(ДжТИ):10/500;;11900;1;11900;0000166093029939;6370;1;Продавец-кассир Осипова;3;19;195;1;87747;2310031475;;
0;2019-05-10T19:47:00;40200;83468;9288000100013253;3798006932;Чипсы Лэйс Смет и зел 225г;2000;11999;1;11999;0002562073025105    ;6700;1;Кулагина_Светлана;3;362;227;1;40200;7447208587;;
0;2019-05-10T19:47:00;40200;83468;9288000100013253;3798006932;Пиво Старый Мельник 0,45;2666;3999;4;15996;0002562073025105    ;6700;1;Кулагина_Светлана;3;362;227;1;40200;7447208587;;
0;2019-05-10T19:47:00;40200;83468;9288000100013253;3798006932;Пакет-майка;34;206;1;206;0002562073025105    ;6700;1;Кулагина_Светлана;3;362;227;1;40200;7447208587;;
0;2019-05-10T19:47:00;40200;83468;9288000100013253;3798006932;Winston XStyle Silver;2000;11999;1;11999;0002562073025105    ;6700;1;Кулагина_Светлана;3;362;227;1;40200;7447208587;;
0;2019-05-11T18:29:00;97800;17327;9289000100236445;3858403093;Сет Все Включено 1120 г 1 порц.;;97800;1;97800;0002726318039993    ;;1;Кигимон Наталья Игоревна;3;41;221;8;97800;9729113217;;
0;2019-05-11T18:29:00;97800;17327;9289000100236445;3858403093;Соус Микс 1 порц.;;0;1;0;0002726318039993    ;;1;Кигимон Наталья Игоревна;3;41;221;8;97800;9729113217;;
0;2019-05-11T18:29:00;97800;17327;9289000100236445;3858403093;Соевый соус кикоман комплект 3 порц.;;0;1;0;0002726318039993    ;;1;Кигимон Наталья Игоревна;3;41;221;8;97800;9729113217;;
0;2019-05-11T18:29:00;97800;17327;9289000100236445;3858403093;Палочки бамбуковые комплект 3 шт.;;0;1;0;0002726318039993    ;;1;Кигимон Наталья Игоревна;3;41;221;8;97800;9729113217;;
0;2019-05-11T18:29:00;97800;17327;9289000100236445;3858403093;Участвует в ПЛ 1 ..;;0;1;0;0002726318039993    ;;1;Кигимон Наталья Игоревна;3;41;221;8;97800;9729113217;;
0;2019-05-18T22:51:00;140451;5048;9285000100140846;874480698;Уголь древесный 2,5 кг ШБ (ТруМакс):60;;18990;2;37980;0000165929054101;7208;1;Продавец-кассир Тюленева;3;423;10;1;140451;2310031475;;
0;2019-05-18T22:51:00;140451;5048;9285000100140846;874480698;Пакет "Магнит" белый (Пластиктрейд) :2700;;390;2;780;0000165929054101;7208;1;Продавец-кассир Тюленева;3;423;10;1;140451;2310031475;;
0;2019-05-18T22:51:00;140451;5048;9285000100140846;874480698;НАПИТКИ ИЗ ЧЕРНОГОЛОВКИ Нап Байкал газ2л пл/бут(Аквалайф):;;4490;1;4490;0000165929054101;7208;1;Продавец-кассир Тюленева;3;423;10;1;140451;2310031475;;
0;2019-05-18T22:51:00;140451;5048;9285000100140846;874480698;ПФ К/к Окорок свиной б/к охл (СП ГМ);;23900;2.474;59129;0000165929054101;7208;1;Продавец-кассир Тюленева;3;423;10;1;140451;2310031475;;
0;2019-05-18T22:51:00;140451;5048;9285000100140846;874480698;Сыр Российский молодой 45% (в)(Ровеньки-МСЗ):8,5;;35160;0.354;12447;0000165929054101;7208;1;Продавец-кассир Тюленева;3;423;10;1;140451;2310031475;;
0;2019-05-18T22:51:00;140451;5048;9285000100140846;874480698;ЛУК РЕПЧАТЫЙ цена за 1кг :24,5;;3990;0.758;3024;0000165929054101;7208;1;Продавец-кассир Тюленева;3;423;10;1;140451;2310031475;;
0;2019-05-18T22:51:00;140451;5048;9285000100140846;874480698;Томаты цена за 1кг: 6;;11890;0.89;10582;0000165929054101;7208;1;Продавец-кассир Тюленева;3;423;10;1;140451;2310031475;;
0;2019-05-18T22:51:00;140451;5048;9285000100140846;874480698;Огурцы гладкие (цена за 1кг);;9900;1.214;12019;0000165929054101;7208;1;Продавец-кассир Тюленева;3;423;10;1;140451;2310031475;;
0;2019-05-19T16:08:00;426300;55418;9285000100076045;3466419927;104001137 Плинтус с к/каналом матовый Лидер №200 2500х60х23мм / Колорпласт;;8742;4;34968;0000742609011247;71050;1;Гончарова Елена Михайловна;3;98;315;1;426300;7702596813;;
0;2019-05-19T16:08:00;426300;55418;9285000100076045;3466419927;703701631 Пакет-майка Бауцентр Юг 28х50;;196;1;196;0000742609011247;71050;1;Гончарова Елена Михайловна;3;98;315;1;426300;7702596813;;
0;2019-05-19T16:08:00;426300;55418;9285000100076045;3466419927;104001145 Соединитель матовый Лидер №200 к-т 2шт / Колорпласт;;4420;3;13260;0000742609011247;71050;1;Гончарова Елена Михайловна;3;98;315;1;426300;7702596813;;
0;2019-05-19T16:08:00;426300;55418;9285000100076045;3466419927;104001145 Соединитель матовый Лидер №200 к-т 2шт / Колорпласт;;4421;1;4421;0000742609011247;71050;1;Гончарова Елена Михайловна;3;98;315;1;426300;7702596813;;
0;2019-05-19T16:08:00;426300;55418;9285000100076045;3466419927;104001159 Угол внутренний матовый Лидер №200 к-т 2шт / Колорпласт;;4420;2;8840;0000742609011247;71050;1;Гончарова Елена Михайловна;3;98;315;1;426300;7702596813;;
0;2019-05-19T16:08:00;426300;55418;9285000100076045;3466419927;860000177 Розетка с заземл. откр. установки влагозащ. IP54 Форс;;14636;1;14636;0000742609011247;71050;1;Гончарова Елена Михайловна;3;98;315;1;426300;7702596813;;
0;2019-05-19T16:08:00;426300;55418;9285000100076045;3466419927;101003645 Линолеум Гламур Сохо 2_069S 4м/3,2мм/0,3мм /Jut;;48032;4;192128;0000742609011247;71050;1;Гончарова Елена Михайловна;3;98;315;1;426300;7702596813;;
0;2019-05-19T16:08:00;426300;55418;9285000100076045;3466419927;101003645 Линолеум Гламур Сохо 2_069S 4м/3,2мм/0,3мм /Jut;;48033;2;96066;0000742609011247;71050;1;Гончарова Елена Михайловна;3;98;315;1;426300;7702596813;;
0;2019-05-19T16:08:00;426300;55418;9285000100076045;3466419927;104001167 Заглушка матовая Лидер №200 к-т 2шт / Колорпласт;;4420;2;8840;0000742609011247;71050;1;Гончарова Елена Михайловна;3;98;315;1;426300;7702596813;;
0;2019-05-19T16:08:00;426300;55418;9285000100076045;3466419927;860000178 Розетка 2-я с заземл. откр. установки влагозащ. IP54 Форс;;20530;1;20530;0000742609011247;71050;1;Гончарова Елена Михайловна;3;98;315;1;426300;7702596813;;
0;2019-05-19T16:08:00;426300;55418;9285000100076045;3466419927;872000527 Кабель силовой АВВГ-П 3х2.5 (N,PE)-0.660 ГОСТ;;2161;15;32415;0000742609011247;71050;1;Гончарова Елена Михайловна;3;98;315;1;426300;7702596813;;
0;2019-05-23T17:11:00;87920;12821;9285000100137604;3947985809;Пакет "Магнит" белый (Пластиктрейд) :2700;;390;1;390;0000376167011184;3048;1;Продавец-кассир Бернгардт;3;105;49;1;87920;2310031475;;
0;2019-05-23T17:11:00;87920;12821;9285000100137604;3947985809;ТД СМЕТАНИН Айран нап кисломол 0,5% 1л пл/бут(РЗПС):6;;3990;1;3990;0000376167011184;3048;1;Продавец-кассир Бернгардт;3;105;49;1;87920;2310031475;;
0;2019-05-23T17:11:00;87920;12821;9285000100137604;3947985809;КУБАНСКИЙ МОЛОЧК Творог Уманский обезж0,18кг фольг(ЛенСК):;;5290;2;10580;0000376167011184;3048;1;Продавец-кассир Бернгардт;3;105;49;1;87920;2310031475;;
0;2019-05-23T17:11:00;87920;12821;9285000100137604;3947985809;Мираторг Филе ЦБ охл 850г лоток(Брянский Бройлер):12;;32990;1;32990;0000376167011184;3048;1;Продавец-кассир Бернгардт;3;105;49;1;87920;2310031475;;
0;2019-05-23T17:11:00;87920;12821;9285000100137604;3947985809;AN-NOOR Желудки ЦБ Халяль охл 0,900кг лоток(Ресурс ТК):5;;14390;1;14390;0000376167011184;3048;1;Продавец-кассир Бернгардт;3;105;49;1;87920;2310031475;;
0;2019-05-23T17:11:00;87920;12821;9285000100137604;3947985809;Хлеб Бородинский нарез ржан-пшен 0,68кг фл/п(Гуковская М.Ю;;2690;1;2690;0000376167011184;3048;1;Продавец-кассир Бернгардт;3;105;49;1;87920;2310031475;;
0;2019-05-23T17:11:00;87920;12821;9285000100137604;3947985809;Семейные секреты Блинчики с мясом 420г пл/уп(ТДХ):10;;4990;1;4990;0000376167011184;3048;1;Продавец-кассир Бернгардт;3;105;49;1;87920;2310031475;;
0;2019-05-23T17:11:00;87920;12821;9285000100137604;3947985809;AKBAR АВ Ceylon Чай черный байх 100пак 200г(Яковлевская):6;;17900;1;17900;0000376167011184;3048;1;Продавец-кассир Бернгардт;3;105;49;1;87920;2310031475;;
0;2019-05-24T19:35:00;20498;158578;8716000100011482;2852729034;*2047206 МАХ.Майон.ЛИМ.СОК.67% 400мл;;4499;1;4499;0000695142054124;750;1;Килиянчук Людмила Алекcандровна, Продавец-каccир;3;464;404;1;20498;7825706086;;
0;2019-05-24T19:35:00;20498;158578;8716000100011482;2852729034;*3687807 ЗОЛ.ЕВР.Сыр ТИЛЬЗИТЕР 45% 240г;;15999;1;15999;0000695142054124;750;1;Килиянчук Людмила Алекcандровна, Продавец-каccир;3;464;404;1;20498;7825706086;;
0;2019-05-24T20:06:00;51900;48928;9288000100012893;2861835232;Чипсы Лэйс Смет и зел 225г;1667;9999;1;9999;0002562074045026    ;8650;1;Тимирева_Дарья;3;236;242;1;51900;7447208587;;
0;2019-05-24T20:06:00;51900;48928;9288000100012893;2861835232;Пиво Туборг Грин ст.;4989;4989;6;29934;0002562074045026    ;8650;1;Тимирева_Дарья;3;236;242;1;51900;7447208587;;
0;2019-05-24T20:06:00;51900;48928;9288000100012893;2861835232;Пакет-майка;45;268;1;268;0002562074045026    ;8650;1;Тимирева_Дарья;3;236;242;1;51900;7447208587;;
0;2019-05-24T20:06:00;51900;48928;9288000100012893;2861835232;Winston XStyle Silver;1950;11699;1;11699;0002562074045026    ;8650;1;Тимирева_Дарья;3;236;242;1;51900;7447208587;;
9800;2019-05-28T12:53:00;0;9932;9285000100137630;2625775911;ПАКЕТ МАГНИТ белый (КСО):2700;;390;1;390;0000398916037866;1647;1;Старший кассир Унджугулян;3;123;46;1;9800;2310031475;;
9800;2019-05-28T12:53:00;0;9932;9285000100137630;2625775911;Кружка кам керам Принт 330мл(СИ):4/48;;9490;1;9490;0000398916037866;1647;1;Старший кассир Унджугулян;3;123;46;1;9800;2310031475;;
0;2019-05-31T21:36:00;121024;36632;9289000100318183;3896195532;3300573 Пакет ПЯТЕРОЧКА 65х40см;;500;1;500;0000371370021667;8999;1;Холина Cветлана Ивановна, Продавец-каccир;3;547;83;1;121024;7825706086;;
0;2019-05-31T21:36:00;121024;36632;9289000100318183;3896195532;*3384812 СИГАРЕТЫ WINSTON XSTYEL S.1П.;;12600;1;12600;0000371370021667;8999;1;Холина Cветлана Ивановна, Продавец-каccир;3;547;83;1;121024;7825706086;;
0;2019-05-31T21:36:00;121024;36632;9289000100318183;3896195532;*3384812 СИГАРЕТЫ WINSTON XSTYEL S.1П.;;12600;1;12600;0000371370021667;8999;1;Холина Cветлана Ивановна, Продавец-каccир;3;547;83;1;121024;7825706086;;
0;2019-05-31T21:36:00;121024;36632;9289000100318183;3896195532;*3384812 СИГАРЕТЫ WINSTON XSTYEL S.1П.;;12600;1;12600;0000371370021667;8999;1;Холина Cветлана Ивановна, Продавец-каccир;3;547;83;1;121024;7825706086;;
0;2019-05-31T21:36:00;121024;36632;9289000100318183;3896195532;3177184 СЯСЬ Салфет.МЯГ.ЗН.DEL.2сл.100л;;4720;1;4720;0000371370021667;8999;1;Холина Cветлана Ивановна, Продавец-каccир;3;547;83;1;121024;7825706086;;
0;2019-05-31T21:36:00;121024;36632;9289000100318183;3896195532;2063355 Вода ЛИПЕЦК.БЮВЕТ мин.газ.1.5л;;3100;1;3100;0000371370021667;8999;1;Холина Cветлана Ивановна, Продавец-каccир;3;547;83;1;121024;7825706086;;
0;2019-05-31T21:36:00;121024;36632;9289000100318183;3896195532;3631154 Р.ВК.Сыр ЛЬВИН.СЕРДЦЕ 45% 250г;;17999;1;17999;0000371370021667;8999;1;Холина Cветлана Ивановна, Продавец-каccир;3;547;83;1;121024;7825706086;;
0;2019-05-31T21:36:00;121024;36632;9289000100318183;3896195532;*48188 Яблоки ГОЛДЕН 1кг;;8999;0.875;7874;0000371370021667;8999;1;Холина Cветлана Ивановна, Продавец-каccир;3;547;83;1;121024;7825706086;;
0;2019-05-31T21:36:00;121024;36632;9289000100318183;3896195532;3350899 ДЫМ ДЫМ.Колб.ОСОБАЯ с/к б/с 1кг;;83900;0.224;18794;0000371370021667;8999;1;Холина Cветлана Ивановна, Продавец-каccир;3;547;83;1;121024;7825706086;;
0;2019-05-31T21:36:00;121024;36632;9289000100318183;3896195532;3350006 КРАСНОД.ХЗ№6 Батон ЛЕТН.нар350г;;3399;1;3399;0000371370021667;8999;1;Холина Cветлана Ивановна, Продавец-каccир;3;547;83;1;121024;7825706086;;
0;2019-05-31T21:36:00;121024;36632;9289000100318183;3896195532;3095677 Огурцы среднеплодные глад.1кг;;9899;0.8;7919;0000371370021667;8999;1;Холина Cветлана Ивановна, Продавец-каccир;3;547;83;1;121024;7825706086;;
0;2019-05-31T21:36:00;121024;36632;9289000100318183;3896195532;3182856 Яйца кур.С1 стол.фас.10шт;;4999;1;4999;0000371370021667;8999;1;Холина Cветлана Ивановна, Продавец-каccир;3;547;83;1;121024;7825706086;;
0;2019-05-31T21:36:00;121024;36632;9289000100318183;3896195532;82533 АНАК.Верм.с кур.бул.б/пр 60г;;1019;4;4076;0000371370021667;8999;1;Холина Cветлана Ивановна, Продавец-каccир;3;547;83;1;121024;7825706086;;
0;2019-05-31T21:36:00;121024;36632;9289000100318183;3896195532;*202 Томаты 1кг;;10999;0.895;9844;0000371370021667;8999;1;Холина Cветлана Ивановна, Продавец-каccир;3;547;83;1;121024;7825706086;;
0;2019-06-09T21:09:00;499200;36050;9251440300017873;3850564854;Пакет ЛЕНТА майка 9кг;;349;2;698;0000145111030767    ;82053;1;Лагунова Валентина Геннадьевна;3;315;99;1;499200;7814148471;;
0;2019-06-09T21:09:00;499200;36050;9251440300017873;3850564854;Сорочка жен FM L21821/L21821-1;;59900;1;59900;0000145111030767    ;82053;1;Лагунова Валентина Геннадьевна;3;315;99;1;499200;7814148471;;
0;2019-06-09T21:09:00;499200;36050;9251440300017873;3850564854;Сорочка жен FM FRIEND MADE UW121;;39900;1;39900;0000145111030767    ;82053;1;Лагунова Валентина Геннадьевна;3;315;99;1;499200;7814148471;;
0;2019-06-09T21:09:00;499200;36050;9251440300017873;3850564854;КПБ Сем ВАСИЛИСА Модерн, сатин, 100% хл;;299841;1;299841;0000145111030767    ;82053;1;Лагунова Валентина Геннадьевна;3;315;99;1;499200;7814148471;;
0;2019-06-09T21:09:00;499200;36050;9251440300017873;3850564854;Салфетки ЛЕНТА Влажные д/инт гиг 15шт;;1999;1;1999;0000145111030767    ;82053;1;Лагунова Валентина Геннадьевна;3;315;99;1;499200;7814148471;;
0;2019-06-09T21:09:00;499200;36050;9251440300017873;3850564854;Чай травяной ЛЕНТА Чай для бани 50г;;11999;1;11999;0000145111030767    ;82053;1;Лагунова Валентина Геннадьевна;3;315;99;1;499200;7814148471;;
0;2019-06-09T21:09:00;499200;36050;9251440300017873;3850564854;Ножницы KAIZER маник д/кутик KOR 118;;24999;1;24999;0000145111030767    ;82053;1;Лагунова Валентина Геннадьевна;3;315;99;1;499200;7814148471;;
0;2019-06-09T21:09:00;499200;36050;9251440300017873;3850564854;Чай фрукт-трав ЛЕНТА Альпийский чай 60г;;12999;1;12999;0000145111030767    ;82053;1;Лагунова Валентина Геннадьевна;3;315;99;1;499200;7814148471;;
0;2019-06-09T21:09:00;499200;36050;9251440300017873;3850564854;В/САЛФЕТКИ AURA АНТИБАКТЕРИАЛЬНЫЕ 72ШТ;;11399;1;11399;0000145111030767    ;82053;1;Лагунова Валентина Геннадьевна;3;315;99;1;499200;7814148471;;
0;2019-06-09T21:09:00;499200;36050;9251440300017873;3850564854;Айран БЕЛЫЙ МЕДВЕДЬ 1000мл;;3499;1;3499;0000145111030767    ;82053;1;Лагунова Валентина Геннадьевна;3;315;99;1;499200;7814148471;;
